published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,p_over_1_5,p_over_2_5,p_over_3_5,p_under_2_5,p_0_1,p_2,p_3,p_4plus,coherent
2026-09-18T07:15:29Z,2026-09-18,leagues,1638098,2026-09-18T16:00:00Z,AC Oulu,Inter Turku,0.6908,0.3399,0.0975,0.6784,0.3092,0.3509,0.2424,0.0975,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1549783,2026-09-18T21:00:00Z,Águilas Doradas,Deportivo Pereira,0.8201,0.6739,0.4074,0.2954,0.1799,0.1462,0.2665,0.4074,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1569926,2026-09-18T18:30:00Z,Albacete,Cordoba,0.8504,0.6629,0.2898,0.3262,0.1496,0.1875,0.3731,0.2898,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1551797,2026-09-18T18:00:00Z,Almere City FC,Heracles,0.8982,0.6733,0.3988,0.3387,0.1018,0.2249,0.2745,0.3988,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1552477,2026-09-18T18:00:00Z,Annecy,Dijon,0.7224,0.6391,0.3340,0.3562,0.2776,0.0833,0.3051,0.3340,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1585760,2026-09-18T13:00:00Z,Bandırmaspor,Ümraniyespor,0.6498,0.4069,0.2515,0.6020,0.3502,0.2429,0.1554,0.2515,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1575167,2026-09-18T18:30:00Z,Bayern München,Union Berlin,0.9500,0.9500,0.7434,0.0698,0.0500,0.0000,0.2066,0.7434,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1492771,2026-09-18T19:00:00Z,Bohemians,Drogheda United,0.9303,0.6307,0.4147,0.3695,0.0697,0.2996,0.2160,0.4147,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1557408,2026-09-18T19:00:00Z,Brentford,Chelsea,0.7794,0.6885,0.3315,0.3076,0.2206,0.0909,0.3570,0.3315,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1563168,2026-09-18T19:00:00Z,Bristol City,Watford,0.8280,0.5318,0.3242,0.4481,0.1720,0.2962,0.2076,0.3242,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1520881,2026-09-18T23:30:00Z,Ceara,Novorizontino,0.6832,0.4223,0.2481,0.5566,0.3168,0.2609,0.1742,0.2481,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1493140,2026-09-18T21:00:00Z,Central Cordoba de Santiago,Defensa Y Justicia,0.6282,0.3712,0.0895,0.6453,0.3718,0.2570,0.2817,0.0895,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1559162,2026-09-18T18:00:00Z,Club Brugge II,KAA Gent II,0.7237,0.5557,0.4969,0.4335,0.2763,0.1680,0.0588,0.4969,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1551798,2026-09-18T18:00:00Z,Den Bosch,Helmond Sport,0.8270,0.5256,0.3469,0.4558,0.1730,0.3014,0.1787,0.3469,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1492772,2026-09-18T18:45:00Z,Derry City,Galway United,0.7916,0.4299,0.1865,0.5708,0.2084,0.3617,0.2434,0.1865,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1492773,2026-09-18T18:45:00Z,Dundalk,Shelbourne,0.8443,0.5839,0.2304,0.3962,0.1557,0.2604,0.3535,0.2304,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1570397,2026-09-18T19:00:00Z,Espanyol,Elche,0.7079,0.4481,0.1820,0.5396,0.2921,0.2598,0.2661,0.1820,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1497705,2026-09-18T17:00:00Z,Falkenbergs FF,Ostersunds FK,0.6691,0.3817,0.2361,0.6093,0.3309,0.2874,0.1456,0.2361,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1567910,2026-09-18T18:30:00Z,FC BW Linz,Admira Wacker,0.7466,0.6379,0.2141,0.3723,0.2534,0.1087,0.4238,0.2141,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1551799,2026-09-18T18:00:00Z,FC Eindhoven,Emmen,0.7150,0.7067,0.4489,0.2713,0.2850,0.0083,0.2578,0.4489,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1551803,2026-09-18T18:00:00Z,FC OSS,Dordrecht,0.9500,0.7040,0.3687,0.2814,0.0500,0.2460,0.3353,0.3687,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1555058,2026-09-18T17:30:00Z,FC WIL 1900,Stade Nyonnais,0.9003,0.7549,0.5657,0.2372,0.0997,0.1454,0.1892,0.5657,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1555060,2026-09-18T18:15:00Z,FC Winterthur,FC Aarau,0.9500,0.7971,0.4569,0.2098,0.0500,0.1529,0.3402,0.4569,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1567911,2026-09-18T16:30:00Z,Floridsdorfer AC,FC Liefering,0.7237,0.6233,0.5001,0.3950,0.2763,0.1004,0.1232,0.5001,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1559163,2026-09-18T18:00:00Z,Francs Borains,RSC Anderlecht II,0.8188,0.6160,0.4535,0.4087,0.1812,0.2028,0.1625,0.4535,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1558635,2026-09-18T18:45:00Z,Gent,Standard Liege,0.6681,0.3450,0.1119,0.6544,0.3319,0.3231,0.2331,0.1119,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1638099,2026-09-18T16:00:00Z,Gnistan,HJK Helsinki,0.8531,0.7021,0.5218,0.3018,0.1469,0.1510,0.1803,0.5218,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1552479,2026-09-18T18:00:00Z,Grenoble,Clermont Foot,0.4907,0.3194,0.1839,0.6594,0.5093,0.1713,0.1355,0.1839,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1552173,2026-09-18T18:00:00Z,Groningen,PEC Zwolle,0.9457,0.5752,0.2959,0.4266,0.0543,0.3705,0.2793,0.2959,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1523230,2026-09-18T11:35:00Z,Hangzhou Greentown,Wuhan Three Towns,0.8832,0.8257,0.6834,0.2042,0.1168,0.0575,0.1423,0.6834,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1555508,2026-09-18T12:45:00Z,Hapoel Tel Aviv,Hapoel Petah Tikva,0.6783,0.4160,0.3439,0.5778,0.3217,0.2623,0.0721,0.3439,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1551800,2026-09-18T18:00:00Z,Jong Ajax,Roda,0.7853,0.5136,0.2933,0.4631,0.2147,0.2717,0.2203,0.2933,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1551801,2026-09-18T18:00:00Z,Jong AZ,FC Volendam,0.9500,0.5450,0.3248,0.4257,0.0500,0.4050,0.2202,0.3248,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1551802,2026-09-18T18:00:00Z,Jong Utrecht,VVV Venlo,0.8095,0.6519,0.2888,0.3771,0.1905,0.1576,0.3631,0.2888,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1601537,2026-09-18T18:30:00Z,Juve Stabia,Cesena,0.7261,0.3481,0.2626,0.6198,0.2739,0.3780,0.0855,0.2626,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1584418,2026-09-18T17:00:00Z,Kasımpaşa,Konyaspor,0.8137,0.4874,0.1573,0.5222,0.1863,0.3263,0.3301,0.1573,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1551346,2026-09-18T17:00:00Z,Kolding IF,Hillerød,0.8934,0.5809,0.3175,0.4233,0.1066,0.3125,0.2634,0.3175,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1638083,2026-09-18T15:00:00Z,Lahti,FF Jaro,0.8688,0.6802,0.3339,0.3337,0.1312,0.1886,0.3463,0.3339,1
2026-09-18T07:15:29Z,2026-09-18,leagues,1552481,2026-09-18T18:00:00Z,Laval,Sochaux,0.7847,0.5902,0.3601,0.3952,0.2153,0.1945,0.2301,0.3601,1
