published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,home_goals,away_goals,p,p_covered
2026-09-18T07:15:29Z,2026-09-18,leagues,1549783,2026-09-18T21:00:00Z,Águilas Doradas,Deportivo Pereira,1-1,1,1,0.1385,0.3710
2026-09-18T07:15:29Z,2026-09-18,leagues,1549783,2026-09-18T21:00:00Z,Águilas Doradas,Deportivo Pereira,1-0,1,0,0.1238,0.3710
2026-09-18T07:15:29Z,2026-09-18,leagues,1549783,2026-09-18T21:00:00Z,Águilas Doradas,Deportivo Pereira,0-0,0,0,0.1087,0.3710
2026-09-18T07:15:29Z,2026-09-18,leagues,1569926,2026-09-18T18:30:00Z,Albacete,Cordoba,1-1,1,1,0.1138,0.2871
2026-09-18T07:15:29Z,2026-09-18,leagues,1569926,2026-09-18T18:30:00Z,Albacete,Cordoba,2-1,2,1,0.0948,0.2871
2026-09-18T07:15:29Z,2026-09-18,leagues,1569926,2026-09-18T18:30:00Z,Albacete,Cordoba,1-0,1,0,0.0785,0.2871
2026-09-18T07:15:29Z,2026-09-18,leagues,1551797,2026-09-18T18:00:00Z,Almere City FC,Heracles,2-3,2,3,0.0577,0.1628
2026-09-18T07:15:29Z,2026-09-18,leagues,1551797,2026-09-18T18:00:00Z,Almere City FC,Heracles,2-2,2,2,0.0543,0.1628
2026-09-18T07:15:29Z,2026-09-18,leagues,1551797,2026-09-18T18:00:00Z,Almere City FC,Heracles,1-3,1,3,0.0508,0.1628
2026-09-18T07:15:29Z,2026-09-18,leagues,1575167,2026-09-18T18:30:00Z,Bayern München,Union Berlin,3-0,3,0,0.1070,0.2924
2026-09-18T07:15:29Z,2026-09-18,leagues,1575167,2026-09-18T18:30:00Z,Bayern München,Union Berlin,4-0,4,0,0.0928,0.2924
2026-09-18T07:15:29Z,2026-09-18,leagues,1575167,2026-09-18T18:30:00Z,Bayern München,Union Berlin,2-0,2,0,0.0926,0.2924
2026-09-18T07:15:29Z,2026-09-18,leagues,1557408,2026-09-18T19:00:00Z,Brentford,Chelsea,1-1,1,1,0.1076,0.2751
2026-09-18T07:15:29Z,2026-09-18,leagues,1557408,2026-09-18T19:00:00Z,Brentford,Chelsea,2-1,2,1,0.0841,0.2751
2026-09-18T07:15:29Z,2026-09-18,leagues,1557408,2026-09-18T19:00:00Z,Brentford,Chelsea,1-2,1,2,0.0834,0.2751
2026-09-18T07:15:29Z,2026-09-18,leagues,1570397,2026-09-18T19:00:00Z,Espanyol,Elche,1-1,1,1,0.1238,0.3143
2026-09-18T07:15:29Z,2026-09-18,leagues,1570397,2026-09-18T19:00:00Z,Espanyol,Elche,1-0,1,0,0.1032,0.3143
2026-09-18T07:15:29Z,2026-09-18,leagues,1570397,2026-09-18T19:00:00Z,Espanyol,Elche,2-1,2,1,0.0873,0.3143
2026-09-18T07:15:29Z,2026-09-18,leagues,1551799,2026-09-18T18:00:00Z,FC Eindhoven,Emmen,1-1,1,1,0.1008,0.2643
2026-09-18T07:15:29Z,2026-09-18,leagues,1551799,2026-09-18T18:00:00Z,FC Eindhoven,Emmen,2-1,2,1,0.0846,0.2643
2026-09-18T07:15:29Z,2026-09-18,leagues,1551799,2026-09-18T18:00:00Z,FC Eindhoven,Emmen,1-2,1,2,0.0789,0.2643
2026-09-18T07:15:29Z,2026-09-18,leagues,1551803,2026-09-18T18:00:00Z,FC OSS,Dordrecht,1-1,1,1,0.1253,0.3241
2026-09-18T07:15:29Z,2026-09-18,leagues,1551803,2026-09-18T18:00:00Z,FC OSS,Dordrecht,0-1,0,1,0.1100,0.3241
2026-09-18T07:15:29Z,2026-09-18,leagues,1551803,2026-09-18T18:00:00Z,FC OSS,Dordrecht,1-2,1,2,0.0888,0.3241
