settled_utc,run_date,comp,fixture_id,kickoff_utc,home,away,market,score,result,settle_frac,odds,profit_1u,fair_close,fair_close_utc,clv_pct
2026-09-19T07:48:19Z,2026-09-18,leagues,1638084,2026-09-18T15:00:00Z,SJK,Mariehamn,OVER_1_5,2-1,1,1,1.270,0.2700,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1555057,2026-09-18T17:30:00Z,SC Kriens,Étoile Carouge,OVER_1_5,4-1,1,1,1.150,0.1500,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1555060,2026-09-18T18:15:00Z,FC Winterthur,FC Aarau,OVER_1_5,2-1,1,1,1.170,0.1700,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1575167,2026-09-18T18:30:00Z,Bayern München,Union Berlin,OVER_2_5,7-0,1,1,1.110,0.1100,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1552173,2026-09-18T18:00:00Z,Groningen,PEC Zwolle,OVER_1_5,3-0,1,1,1.140,0.1400,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1558226,2026-09-18T18:45:00Z,Polonia Bytom,Ruch Chorzów,OVER_1_5,0-0,0,0,1.250,-0.0000,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1555058,2026-09-18T17:30:00Z,FC WIL 1900,Stade Nyonnais,OVER_1_5,5-0,1,1,1.180,0.1800,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1551346,2026-09-18T17:00:00Z,Kolding IF,Hillerød,OVER_1_5,1-1,1,1,1.290,0.2900,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1561667,2026-09-18T16:00:00Z,Zawisza Bydgoszcz,Górnik Łęczna,OVER_1_5,0-0,0,0,1.250,-0.0000,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1494768,2026-09-18T17:00:00Z,Sarpsborg 08 FF,KFUM Oslo,OVER_1_5,1-3,1,1,1.210,0.2100,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1548535,2026-09-18T18:00:00Z,Rudes,NK Slaven Belupo,OVER_1_5,2-2,1,1,1.300,0.3000,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1523230,2026-09-18T11:35:00Z,Hangzhou Greentown,Wuhan Three Towns,OVER_2_5,4-1,1,1,1.350,0.3500,1.352,2026-09-18T08:42:36Z,-0.15
2026-09-19T07:48:19Z,2026-09-18,leagues,1550133,2026-09-18T18:45:00Z,Monza,Sassuolo,OVER_1_5,2-1,1,1,1.260,0.2600,,,
2026-09-19T07:48:19Z,2026-09-18,leagues,1549024,2026-09-18T17:00:00Z,Lyngby,Silkeborg,OVER_2_5,0-4,1,1,1.540,0.5400,1.536,2026-09-18T12:41:21Z,0.26
2026-09-19T07:48:19Z,2026-09-18,leagues,1520889,2026-09-18T22:30:00Z,Vila Nova,America Mineiro,HOME_WIN,1-0,1,1,1.400,0.4000,1.487,2026-09-18T16:40:37Z,-5.85
2026-09-19T07:48:19Z,2026-09-18,leagues,1561935,2026-09-18T17:30:00Z,Rapid Vienna,WSG Wattens,HOME_WIN,3-0,1,1,1.400,0.4000,1.411,2026-09-18T12:41:21Z,-0.78
2026-09-19T07:48:19Z,2026-09-18,leagues,1638099,2026-09-18T16:00:00Z,Gnistan,HJK Helsinki,OVER_2_5,1-1,0,0,1.600,-0.0000,1.644,2026-09-18T12:41:21Z,-2.68
