published_utc,run_date,comp,fixture_id,kickoff_utc,league,home,away,model,p_HOME_WIN,p_DRAW,p_AWAY_WIN,p_OVER_1_5,p_OVER_2_5,p_UNDER_2_5,p_UNDER_3_5,p_BTTS,p_GOALS_1_3,p_GOALS_2_3,p_UPSET,backed
2026-09-21T07:03:07Z,2026-09-21,leagues,1493137,2026-09-21T17:30:00Z,Liga_Profesional_Argentina,Aldosivi,Atletico Tucuman,v3/binary,0.3714,0.2080,0.4205,0.7731,0.4182,0.5876,0.9203,0.4457,0.8009,0.6154,0.3531,
2026-09-21T07:03:07Z,2026-09-21,leagues,1493138,2026-09-21T22:00:00Z,Liga_Profesional_Argentina,Barracas Central,Independ. Rivadavia,v3/binary,0.1989,0.3656,0.4035,0.5813,0.2996,0.7138,0.9500,0.3495,0.6385,0.4369,0.4852,DRAW
2026-09-21T07:03:07Z,2026-09-21,leagues,1639787,2026-09-21T22:30:00Z,Primera_Division_Uruguay,Central Espanol,Atletico Torque,v3/binary,0.1928,0.2160,0.5913,0.5892,0.3336,0.6610,0.8913,0.3474,0.7438,0.3214,0.3265,
2026-09-21T07:03:07Z,2026-09-21,leagues,1520882,2026-09-21T22:30:00Z,Serie_B_Brazil,Criciuma,Operario-PR,v3/binary,0.5907,0.2803,0.1015,0.7693,0.5684,0.4180,0.7373,0.5537,0.6067,0.4535,0.2608,HOME_WIN
2026-09-21T07:03:07Z,2026-09-21,leagues,1551345,2026-09-21T17:00:00Z,Danish_1st_Division,HB Koge,Hobro,v3/binary,0.2214,0.2272,0.5514,0.6777,0.5014,0.5010,0.7859,0.5045,0.7405,0.4883,0.2407,
2026-09-21T07:03:07Z,2026-09-21,leagues,1565259,2026-09-21T15:00:00Z,Romania_Liga1,Oţelul,Corvinul Hunedoara,v3/binary,0.4088,0.3599,0.2342,0.7841,0.4996,0.4937,0.6177,0.5868,0.5860,0.3948,0.3355,DRAW
2026-09-21T07:03:07Z,2026-09-21,leagues,1565260,2026-09-21T18:00:00Z,Romania_Liga1,Petrolul Ploiesti,Csikszereda,v3/binary,0.6878,0.2042,0.1080,0.7086,0.3142,0.6845,0.7459,0.4197,0.6810,0.4125,0.1738,
2026-09-22T07:15:52Z,2026-09-22,leagues,1549790,2026-09-22T23:00:00Z,Colombia_PrimeraA,Independiente Medellin,Jaguares,v3/binary,0.8094,0.1217,0.0689,0.7941,0.6730,0.3187,0.7106,0.4751,0.6862,0.5352,0.0500,ASIAN_OVER_2_0
2026-09-22T07:15:52Z,2026-09-22,cups,1588816,2026-09-22T18:00:00Z,EFL_Trophy_England,Accrington ST,Sunderland U21,v3/binary,0.5001,0.2839,0.2160,0.8930,0.5377,0.4711,0.7093,0.5925,0.7221,0.6079,0.2233,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1638266,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,ACV,Hoogeveen,v3/binary,0.3770,0.1909,0.4321,0.8558,0.7323,0.4043,0.5708,0.6142,0.5591,0.3695,0.1773,ASIAN_OVER_2_0
2026-09-22T07:15:52Z,2026-09-22,cups,1588853,2026-09-22T18:00:00Z,EFL_Trophy_England,Barnsley,Leeds United U21,v3/binary,0.9414,0.0507,0.0507,0.9500,0.9500,0.1455,0.3456,0.6028,0.3124,0.2359,0.0500,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588829,2026-09-22T18:30:00Z,EFL_Trophy_England,Bradford,Newcastle United U21,v3/binary,0.9115,0.1042,0.0489,0.9500,0.9500,0.1318,0.3558,0.6721,0.3518,0.3559,0.0500,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1640757,2026-09-22T18:45:00Z,FA_Cup_England,Braintree,Needham Market,v3/binary,0.7910,0.0795,0.1296,0.6393,0.5304,0.4647,0.5670,0.4439,0.4922,0.3061,0.2047,
2026-09-22T07:15:52Z,2026-09-22,cups,1588847,2026-09-22T18:00:00Z,EFL_Trophy_England,Burton Albion,Nottingham Forest U21,v3/binary,0.4001,0.0544,0.5455,0.7651,0.6936,0.4037,0.5730,0.3145,0.5677,0.3836,0.3432,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588865,2026-09-22T18:00:00Z,EFL_Trophy_England,Cheltenham,Exeter City,v3/binary,0.5918,0.1188,0.2894,0.8585,0.5769,0.4618,0.4887,0.4174,0.5152,0.3584,0.2999,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588834,2026-09-22T18:00:00Z,EFL_Trophy_England,Chesterfield,Port Vale,v3/binary,0.3834,0.1741,0.4425,0.6838,0.5336,0.5106,0.5558,0.4673,0.4485,0.2456,0.4021,
2026-09-22T07:15:52Z,2026-09-22,cups,1640667,2026-09-22T18:45:00Z,FA_Cup_England,Chippenham Town,Yate Town,v3/binary,0.4379,0.2636,0.2985,0.8138,0.5397,0.4275,0.4832,0.5542,0.5190,0.3614,0.2074,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588824,2026-09-22T18:00:00Z,EFL_Trophy_England,Crewe,Aston Villa U21,v3/binary,0.6348,0.0468,0.3185,0.8333,0.8489,0.2554,0.3798,0.4539,0.4060,0.2223,0.0500,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1640758,2026-09-22T18:45:00Z,FA_Cup_England,Crowborough Athletic,Hampton & Richmond,v3/binary,0.3823,0.1009,0.5168,0.7231,0.5071,0.4835,0.6693,0.5867,0.6374,0.4014,0.3192,
2026-09-22T07:15:52Z,2026-09-22,cups,1640759,2026-09-22T18:45:00Z,FA_Cup_England,Dagenham & Redbridge,Waltham Abbey,v3/binary,0.6685,0.0553,0.2761,0.8534,0.7504,0.2102,0.4730,0.5771,0.4861,0.4021,0.1537,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1641074,2026-09-22T18:45:00Z,FA_Cup_England,Dorking Wanderers,Southall,v3/binary,0.6677,0.2179,0.1144,0.9238,0.6684,0.3947,0.3840,0.7218,0.4212,0.3582,0.2112,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1638268,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,EVV,Halsteren,v3/binary,0.4525,0.1698,0.3777,0.8804,0.7213,0.3429,0.5526,0.5893,0.5378,0.4298,0.3239,ASIAN_OVER_2_0
2026-09-22T07:15:52Z,2026-09-22,cups,1640761,2026-09-22T18:45:00Z,FA_Cup_England,Farnborough,Uxbridge,v3/binary,0.6170,0.0730,0.3099,0.8816,0.6177,0.3300,0.7041,0.7363,0.6733,0.5451,0.2415,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1640762,2026-09-22T18:45:00Z,FA_Cup_England,Farnham Town,Cirencester Town,v3/binary,0.6219,0.2439,0.1342,0.8494,0.7468,0.2589,0.3632,0.4447,0.3130,0.2865,0.3028,OVER_1_5
