settled_utc,run_date,comp,fixture_id,kickoff_utc,league,home,away,score
2026-09-22T07:15:52Z,2026-09-21,leagues,1493137,2026-09-21T17:30:00Z,Liga_Profesional_Argentina,Aldosivi,Atletico Tucuman,1-0
2026-09-22T07:15:52Z,2026-09-21,leagues,1493138,2026-09-21T22:00:00Z,Liga_Profesional_Argentina,Barracas Central,Independ. Rivadavia,0-1
2026-09-22T07:15:52Z,2026-09-21,leagues,1639787,2026-09-21T22:30:00Z,Primera_Division_Uruguay,Central Espanol,Atletico Torque,1-4
2026-09-22T07:15:52Z,2026-09-21,leagues,1551345,2026-09-21T17:00:00Z,Danish_1st_Division,HB Koge,Hobro,5-2
2026-09-22T07:15:52Z,2026-09-21,leagues,1565259,2026-09-21T15:00:00Z,Romania_Liga1,Oţelul,Corvinul Hunedoara,2-3
2026-09-22T07:15:52Z,2026-09-21,leagues,1565260,2026-09-21T18:00:00Z,Romania_Liga1,Petrolul Ploiesti,Csikszereda,2-0
2026-09-23T07:07:06Z,2026-09-21,leagues,1520882,2026-09-21T22:30:00Z,Serie_B_Brazil,Criciuma,Operario-PR,0-2
2026-09-23T07:07:06Z,2026-09-22,leagues,1549790,2026-09-22T23:00:00Z,Colombia_PrimeraA,Independiente Medellin,Jaguares,2-1
2026-09-23T07:07:06Z,2026-09-22,cups,1588816,2026-09-22T18:00:00Z,EFL_Trophy_England,Accrington ST,Sunderland U21,3-3
2026-09-23T07:07:06Z,2026-09-22,cups,1638266,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,ACV,Hoogeveen,2-1
2026-09-23T07:07:06Z,2026-09-22,cups,1588853,2026-09-22T18:00:00Z,EFL_Trophy_England,Barnsley,Leeds United U21,3-4
2026-09-23T07:07:06Z,2026-09-22,cups,1588829,2026-09-22T18:30:00Z,EFL_Trophy_England,Bradford,Newcastle United U21,2-1
2026-09-23T07:07:06Z,2026-09-22,cups,1640757,2026-09-22T18:45:00Z,FA_Cup_England,Braintree,Needham Market,3-0
2026-09-23T07:07:06Z,2026-09-22,cups,1588847,2026-09-22T18:00:00Z,EFL_Trophy_England,Burton Albion,Nottingham Forest U21,1-1
2026-09-23T07:07:06Z,2026-09-22,cups,1588865,2026-09-22T18:00:00Z,EFL_Trophy_England,Cheltenham,Exeter City,2-2
2026-09-23T07:07:06Z,2026-09-22,cups,1588834,2026-09-22T18:00:00Z,EFL_Trophy_England,Chesterfield,Port Vale,1-1
2026-09-23T07:07:06Z,2026-09-22,cups,1640667,2026-09-22T18:45:00Z,FA_Cup_England,Chippenham Town,Yate Town,1-1
2026-09-23T07:07:06Z,2026-09-22,cups,1588824,2026-09-22T18:00:00Z,EFL_Trophy_England,Crewe,Aston Villa U21,4-1
2026-09-23T07:07:06Z,2026-09-22,cups,1640758,2026-09-22T18:45:00Z,FA_Cup_England,Crowborough Athletic,Hampton & Richmond,3-1
2026-09-23T07:07:06Z,2026-09-22,cups,1640759,2026-09-22T18:45:00Z,FA_Cup_England,Dagenham & Redbridge,Waltham Abbey,3-0
2026-09-23T07:07:06Z,2026-09-22,cups,1641074,2026-09-22T18:45:00Z,FA_Cup_England,Dorking Wanderers,Southall,3-3
2026-09-23T07:07:06Z,2026-09-22,cups,1638268,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,EVV,Halsteren,3-1
2026-09-23T07:07:06Z,2026-09-22,cups,1640761,2026-09-22T18:45:00Z,FA_Cup_England,Farnborough,Uxbridge,0-2
2026-09-23T07:07:06Z,2026-09-22,cups,1640762,2026-09-22T18:45:00Z,FA_Cup_England,Farnham Town,Cirencester Town,1-2
2026-09-23T07:07:06Z,2026-09-22,cups,1640763,2026-09-22T18:45:00Z,FA_Cup_England,Gainsborough Trinity,Leamington,3-0
2026-09-23T07:07:06Z,2026-09-22,cups,1588899,2026-09-22T18:00:00Z,EFL_Trophy_England,Gillingham,Cambridge United,1-4
2026-09-23T07:07:06Z,2026-09-22,cups,1638270,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,Groene Ster,AFC Amsterdam,1-6
2026-09-23T07:07:06Z,2026-09-22,cups,1638272,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,GVVV Veenendaal,DVS 33 Ermelo,4-0
