published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,p,p_covered
2026-09-21T07:03:07Z,2026-09-21,leagues,1493138,2026-09-21T22:00:00Z,Barracas Central,Independ. Rivadavia,1-1,0.1406,0.4071
2026-09-21T07:03:07Z,2026-09-21,leagues,1493138,2026-09-21T22:00:00Z,Barracas Central,Independ. Rivadavia,0-0,0.1405,0.4071
2026-09-21T07:03:07Z,2026-09-21,leagues,1493138,2026-09-21T22:00:00Z,Barracas Central,Independ. Rivadavia,0-1,0.1260,0.4071
2026-09-21T07:03:07Z,2026-09-21,leagues,1520882,2026-09-21T22:30:00Z,Criciuma,Operario-PR,1-0,0.1728,0.4480
2026-09-21T07:03:07Z,2026-09-21,leagues,1520882,2026-09-21T22:30:00Z,Criciuma,Operario-PR,0-0,0.1460,0.4480
2026-09-21T07:03:07Z,2026-09-21,leagues,1520882,2026-09-21T22:30:00Z,Criciuma,Operario-PR,1-1,0.1292,0.4480
2026-09-21T07:03:07Z,2026-09-21,leagues,1565259,2026-09-21T15:00:00Z,Oţelul,Corvinul Hunedoara,0-0,0.2226,0.5490
2026-09-21T07:03:07Z,2026-09-21,leagues,1565259,2026-09-21T15:00:00Z,Oţelul,Corvinul Hunedoara,1-0,0.1814,0.5490
2026-09-21T07:03:07Z,2026-09-21,leagues,1565259,2026-09-21T15:00:00Z,Oţelul,Corvinul Hunedoara,0-1,0.1450,0.5490
2026-09-22T07:15:52Z,2026-09-22,leagues,1549790,2026-09-22T23:00:00Z,Independiente Medellin,Jaguares,2-0,0.1410,0.3734
2026-09-22T07:15:52Z,2026-09-22,leagues,1549790,2026-09-22T23:00:00Z,Independiente Medellin,Jaguares,1-0,0.1314,0.3734
2026-09-22T07:15:52Z,2026-09-22,leagues,1549790,2026-09-22T23:00:00Z,Independiente Medellin,Jaguares,1-1,0.1010,0.3734
2026-09-22T07:15:52Z,2026-09-22,cups,1638266,2026-09-22T18:00:00Z,ACV,Hoogeveen,1-1,0.0797,0.2322
2026-09-22T07:15:52Z,2026-09-22,cups,1638266,2026-09-22T18:00:00Z,ACV,Hoogeveen,1-2,0.0786,0.2322
2026-09-22T07:15:52Z,2026-09-22,cups,1638266,2026-09-22T18:00:00Z,ACV,Hoogeveen,2-1,0.0739,0.2322
2026-09-22T07:15:52Z,2026-09-22,cups,1588853,2026-09-22T18:00:00Z,Barnsley,Leeds United U21,2-1,0.0820,0.2164
2026-09-22T07:15:52Z,2026-09-22,cups,1588853,2026-09-22T18:00:00Z,Barnsley,Leeds United U21,3-1,0.0682,0.2164
2026-09-22T07:15:52Z,2026-09-22,cups,1588853,2026-09-22T18:00:00Z,Barnsley,Leeds United U21,1-1,0.0662,0.2164
2026-09-22T07:15:52Z,2026-09-22,cups,1588829,2026-09-22T18:30:00Z,Bradford,Newcastle United U21,3-1,0.0737,0.2021
